name,reviews,types,type,website,category,latitude,longitude,popularity
The National Museum of Modern Art Tokyo,6508.0,"[
  ""Art museum"",
  ""Tourist attraction""
]",Art museum,https://www.momat.go.jp/,art,35.6905432,139.7546932,A
teamLab Borderless: MORI Building DIGITAL ART MUSEUM,21534.0,"[
  ""Art museum"",
  ""Museum""
]",Art museum,https://www.teamlab.art/jp/e/tokyo/,art,35.6620689,139.7432671,A
Mori Art Museum,6305.0,"[
  ""Modern art museum"",
  ""Museum""
]",Modern art museum,https://www.mori.art.museum/jp/,art,35.6604621,139.7292785,A
Tokyo National Museum,25959.0,"[
  ""National museum"",
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",National museum,https://www.tnm.jp/,general,35.7188351,139.7765215,A
Artizon Museum,2139.0,"[
  ""Art museum"",
  ""Restaurant""
]",Art museum,https://www.artizon.museum/,art,35.678841399999996,139.7716322,B
"Currency Museum, Institute for Monetary and Economic Studies, Bank of Japan",2086.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://www.imes.boj.or.jp/cm/index.html,general,35.685461499999995,139.7716826,B
Edo-Tokyo Museum,12658.0,"[
  ""History museum"",
  ""Cultural institution"",
  ""Museum"",
  ""Tourist attraction""
]",History museum,https://www.edo-tokyo-museum.or.jp/,history,35.6965972,139.7957336,A
ART AQUARIUM MUSEUM,3891.0,"[
  ""Art museum"",
  ""Aquarium"",
  ""Art gallery"",
  ""Goldfish store"",
  ""Modern art museum"",
  ""Museum"",
  ""Theme park"",
  ""Tourist attraction""
]",Art museum,https://artaquarium.jp/,art,35.6713698,139.7657375,B
Minato Science Museum,533.0,"[
  ""Science museum"",
  ""Museum""
]",Science museum,https://minato-kagaku.tokyo/,stem,35.6657665,139.7458724,C
Panasonic Shiodome Museum of Art,1623.0,"[
  ""Art museum"",
  ""Art gallery"",
  ""Tourist attraction""
]",Art museum,https://panasonic.co.jp/ew/museum/,art,35.6659066,139.7619241,C
Extinct Media Museum,47.0,"[
  ""Museum""
]",Museum,https://extinct-media-museum.blog.jp/otemachi/,general,35.689636799999995,139.76790359999998,E
Mitsubishi Ichigokan Museum,3047.0,"[
  ""Art museum"",
  ""Art gallery"",
  ""Museum"",
  ""Tourist attraction""
]",Art museum,http://mimt.jp/,art,35.6785286,139.7633347,B
Meteorological Science Museum by the Japan Meteorological Agency (JMA),151.0,"[
  ""Science museum""
]",Science museum,https://www.jma.go.jp/jma/kishou/intro/kagakukan.html,stem,35.665625299999995,139.7460642,D
Museum Tower Kyobashi,228.0,"[
  ""Corporate office"",
  ""Art museum""
]",Corporate office,https://museumtower-kyobashi.com/,specialty,35.6788272,139.7719545,D
Mitsui Memorial Museum,1543.0,"[
  ""Art museum""
]",Art museum,https://www.mitsui-museum.jp/,art,35.6867991,139.7735492,C
Science and Technology Museum,3634.0,"[
  ""Science museum"",
  ""Tourist attraction""
]",Science museum,https://www.jsf.or.jp/,stem,35.691589,139.75306899999998,B
Pola Museum Annex,469.0,"[
  ""Art gallery"",
  ""Art museum"",
  ""Tourist attraction""
]",Art gallery,http://www.po-holdings.co.jp/m-annex/,art,35.6742613,139.767948,D
Police Museum,2419.0,"[
  ""Museum"",
  ""History museum"",
  ""Tourist attraction""
]",Museum,https://www.keishicho.metro.tokyo.lg.jp/about_mpd/welcome/welcome/museum_tour.html,general,35.6751199,139.76954089999998,B
CREATIVE MUSEUM TOKYO,126.0,"[
  ""Museum"",
  ""Art gallery""
]",Museum,https://creative-museum.tokyo/,general,35.6783071,139.771662,D
Tokyo Station Gallery,2251.0,"[
  ""Art museum"",
  ""Art gallery"",
  ""Tourist attraction""
]",Art museum,http://www.ejrcf.or.jp/gallery/,art,35.6824361,139.7665257,B
Central Museum Ginza,149.0,"[
  ""Museum"",
  ""Tourist attraction""
]",Museum,http://central-museum.jp/,general,35.6712864,139.7675755,D
Toshoshibusawa Museum,4.0,"[
  ""Museum""
]",Museum,https://www.tokyo-cci.or.jp/shibusawa/activity/index.html,general,35.6777386,139.7617602,E
