position,title,address,website,phone,order_online,rating,reviews,price,thumbnail,unclaimed_listing,type,types,service_options,hours,operating_hours,place_id,data_id,data_cid,gps_coordinates
1,The National Museum of Modern Art Tokyo,"3-1 Kitanomarukoen, Chiyoda City, Tokyo 102-0091, Japan",https://www.momat.go.jp/,+81 50-5541-8600,,4.3,6508,,https://lh5.googleusercontent.com/p/AF1QipNA1pBTaJnXBYx7mzoE1sv5KKQKe62fMCOsApTv=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed,"{
  ""monday"": ""Closed"",
  ""tuesday"": ""Closed"",
  ""wednesday"": ""Closed"",
  ""thursday"": ""Closed"",
  ""friday"": ""Closed"",
  ""saturday"": ""Closed"",
  ""sunday"": ""Closed""
}",ChIJL0kSfg2MGGARKv5KX53ZZ2Y,0x60188c0d7e12492f:0x6667d99d5f4afe2a,7379105784401690154,"{
  ""latitude"": 35.6905432,
  ""longitude"": 139.7546932
}"
2,teamLab Borderless: MORI Building DIGITAL ART MUSEUM,"Azabudai Hills Garden Plaza B, B1, 5 Chome-９ Toranomon, Minato City, Tokyo 106-0041, Japan",https://www.teamlab.art/jp/e/tokyo/,+81 3-6230-9666,,4.6,21534,,https://lh5.googleusercontent.com/p/AF1QipMZlHg1xIQnZ6MFeGyztJH4--C10SUGrS29QAnq=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Museum""
]",,Open ⋅ Closes 9 PM,"{
  ""monday"": ""9 AM–9 PM"",
  ""tuesday"": ""9 AM–9 PM"",
  ""wednesday"": ""9 AM–9 PM"",
  ""thursday"": ""9 AM–9 PM"",
  ""friday"": ""9 AM–9 PM"",
  ""saturday"": ""9 AM–9 PM"",
  ""sunday"": ""9 AM–9 PM""
}",ChIJQ5Sa1PqJGGARUSaNKKOrMVg,0x601889fad49a9443:0x5831aba3288d2651,6355049266444838481,"{
  ""latitude"": 35.6620689,
  ""longitude"": 139.7432671
}"
3,Mori Art Museum,"Roppongi Hills Mori Tower, 53階, 6 Chome-10-1 Roppongi, Minato City, Tokyo 106-6150, Japan",https://www.mori.art.museum/jp/,+81 50-5541-8600,,4.3,6305,,https://lh5.googleusercontent.com/p/AF1QipOb-PCZfIWxLUC4tSG-YVBQoK_1g-ElM41bRsz3=w122-h92-k-no,,Modern art museum,"[
  ""Modern art museum"",
  ""Museum""
]",,Open ⋅ Closes 10 PM,"{
  ""monday"": ""10 AM–10 PM"",
  ""tuesday"": ""10 AM–5 PM"",
  ""wednesday"": ""10 AM–10 PM"",
  ""thursday"": ""10 AM–10 PM"",
  ""friday"": ""10 AM–10 PM"",
  ""saturday"": ""10 AM–10 PM"",
  ""sunday"": ""10 AM–10 PM""
}",ChIJg5RCD3eLGGAR6dbIHRM98w8,0x60188b770f429483:0xff33d131dc8d6e9,1149329482222982889,"{
  ""latitude"": 35.6604621,
  ""longitude"": 139.7292785
}"
4,Tokyo National Museum,"13-9 Uenokoen, Taito City, Tokyo 110-8712, Japan",https://www.tnm.jp/,+81 50-5541-8600,,4.5,25959,,https://lh5.googleusercontent.com/p/AF1QipMrcT0XMplJouURT1a7ECLpU731Z9hOZML5CBX7=w163-h92-k-no,,National museum,"[
  ""National museum"",
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM Tue,"{
  ""monday"": ""Closed"",
  ""tuesday"": ""9:30 AM–5 PM"",
  ""wednesday"": ""9:30 AM–5 PM"",
  ""thursday"": ""9:30 AM–5 PM"",
  ""friday"": ""9:30 AM–8 PM"",
  ""saturday"": ""9:30 AM–8 PM"",
  ""sunday"": ""9:30 AM–5 PM""
}",ChIJEX3XFIOOGGAR3XdJvRjWLyM,0x60188e8314d77d11:0x232fd618bd4977dd,2535480516976146397,"{
  ""latitude"": 35.7188351,
  ""longitude"": 139.7765215
}"
5,Artizon Museum,"1 Chome-7-2 Kyobashi, Chuo City, Tokyo 104-0031, Japan",https://www.artizon.museum/,+81 50-5541-8600,,4.6,2139,,https://lh5.googleusercontent.com/p/AF1QipMPhjaNnDIQFn3yrxZjMbYCOhImb3AQOpy3AREw=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Restaurant""
]",,Closed ⋅ Opens 10 AM Tue,"{
  ""monday"": ""Closed"",
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–8 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM""
}",ChIJOzAxseKLGGARWxBlxNWWRPs,0x60188be2b131303b:0xfb4496d5c465105b,18105762246803394651,"{
  ""latitude"": 35.678841399999996,
  ""longitude"": 139.7716322
}"
6,"Currency Museum, Institute for Monetary and Economic Studies, Bank of Japan","日本銀行分館内, 1 Chome-3-1 Nihonbashihongokucho, Chuo City, Tokyo 103-0021, Japan",http://www.imes.boj.or.jp/cm/index.html,+81 3-3277-3037,,4.2,2086,,https://lh5.googleusercontent.com/p/AF1QipNledL2gnJWDzeLsQIPGaaIbwYlmH0FShIRUMem=w124-h92-k-no,TRUE,Museum,"[
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM Tue,"{
  ""monday"": ""Closed"",
  ""tuesday"": ""9:30 AM–4:30 PM"",
  ""wednesday"": ""9:30 AM–4:30 PM"",
  ""thursday"": ""9:30 AM–4:30 PM"",
  ""friday"": ""9:30 AM–4:30 PM"",
  ""saturday"": ""9:30 AM–4:30 PM"",
  ""sunday"": ""9:30 AM–4:30 PM""
}",ChIJYT_QOf6LGGAR2l2t7xZpFMs,0x60188bfe39d03f61:0xcb146916efad5dda,14633436636464897498,"{
  ""latitude"": 35.685461499999995,
  ""longitude"": 139.7716826
}"
7,Edo-Tokyo Museum,"1 Chome-4-1 Yokoami, Sumida City, Tokyo 130-0015, Japan",https://www.edo-tokyo-museum.or.jp/,+81 3-3626-9974,,4.4,12658,,https://lh5.googleusercontent.com/p/AF1QipPsiAnAWUkQtmZmCGgMxaaszcZASrZpCtjnW223=w122-h92-k-no,,History museum,"[
  ""History museum"",
  ""Cultural institution"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM Tue,"{
  ""monday"": ""9:30 AM–5:30 PM"",
  ""tuesday"": ""9:30 AM–5:30 PM"",
  ""wednesday"": ""9:30 AM–5:30 PM"",
  ""thursday"": ""9:30 AM–5:30 PM"",
  ""friday"": ""9:30 AM–5:30 PM"",
  ""saturday"": ""Closed"",
  ""sunday"": ""Closed""
}",ChIJOWXu4TSJGGAR07vEEi8fZAw,0x60188934e1ee6539:0xc641f2f12c4bbd3,892872913165007827,"{
  ""latitude"": 35.6965972,
  ""longitude"": 139.7957336
}"
8,ART AQUARIUM MUSEUM,"Japan, 〒104-8212 Tokyo, Chuo City, Ginza, 4 Chome−6−16, 9階入場口, 三越新館 9階",https://artaquarium.jp/,+81 3-3528-6721,,4.1,3891,,https://lh5.googleusercontent.com/p/AF1QipNuOchEopDdNIadc8cOu5g1qusyIRfpOKzTfm3f=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Aquarium"",
  ""Art gallery"",
  ""Goldfish store"",
  ""Modern art museum"",
  ""Museum"",
  ""Theme park"",
  ""Tourist attraction""
]",,Closes soon ⋅ 7 PM ⋅ Opens 10 AM Tue,"{
  ""monday"": ""10 AM–7 PM"",
  ""tuesday"": ""10 AM–7 PM"",
  ""wednesday"": ""10 AM–7 PM"",
  ""thursday"": ""10 AM–7 PM"",
  ""friday"": ""10 AM–7 PM"",
  ""saturday"": ""10 AM–7 PM"",
  ""sunday"": ""10 AM–7 PM""
}",ChIJ6UVSHl2JGGARDurMrMPwvdk,0x6018895d1e5245e9:0xd9bdf0c3acccea0e,15689961400037075470,"{
  ""latitude"": 35.6713698,
  ""longitude"": 139.7657375
}"
9,Minato Science Museum,"3 Chome-6-9 Toranomon, Minato City, Tokyo 105-0001, Japan",https://minato-kagaku.tokyo/,+81 3-6381-5041,,4.5,533,,https://lh5.googleusercontent.com/p/AF1QipMuEWDWjST5QP_QucwblW8Y4T0vb1Gfv_8IGmDb=w122-h92-k-no,,Science museum,"[
  ""Science museum"",
  ""Museum""
]",,Open ⋅ Closes 8 PM,"{
  ""monday"": ""9 AM–8 PM"",
  ""tuesday"": ""9 AM–8 PM"",
  ""wednesday"": ""9 AM–8 PM"",
  ""thursday"": ""9 AM–8 PM"",
  ""friday"": ""9 AM–8 PM"",
  ""saturday"": ""9 AM–8 PM"",
  ""sunday"": ""9 AM–8 PM""
}",ChIJweGomtWLGGARsXBu2LArcKw,0x60188bd59aa8e1c1:0xac702bb0d86e70b1,12425479410460553393,"{
  ""latitude"": 35.6657665,
  ""longitude"": 139.7458724
}"
10,Panasonic Shiodome Museum of Art,"Panasonic Tokyo Shiodome Building, 4階, 1 Chome-5-1 Higashishinbashi, Minato City, Tokyo 105-8301, Japan",https://panasonic.co.jp/ew/museum/,+81 50-5541-8600,,4,1623,,https://lh5.googleusercontent.com/p/AF1QipOmUFAowa0ELvpHrnRakRsxtkDexn3puLED4qTF=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Art gallery"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Tue,"{
  ""monday"": ""10 AM–6 PM"",
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""Closed"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–8 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM""
}",ChIJ6Sypp8KLGGAR4lmmX-zFFmo,0x60188bc2a7a92ce9:0x6a16c5ec5fa659e2,7644515036515686882,"{
  ""latitude"": 35.6659066,
  ""longitude"": 139.7619241
}"
