name,reviews,types,type,website,latitude,longitude,popularity
Mitsui Outlet Park Makuhari,9253.0,"[
  ""Outlet mall"",
  ""Shopping mall""
]",Outlet mall,https://mitsui-shopping-park.com/mop/makuhari/,35.6472857,140.0413817,A
Mitsui Outlet Park Kisarazu,15674.0,"[
  ""Outlet mall"",
  ""Shopping mall""
]",Outlet mall,https://mitsui-shopping-park.com/mop/kisarazu/,35.4340459,139.9344002,A
Tanger Outlets Southaven,6988.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.tangeroutlet.com/southaven,34.9362555,-89.9916172,A
Gotemba Premium Outlets,25908.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.co.jp/gotemba/,35.3067588,138.96206859999998,A
AEON LakeTown OUTLET,6990.0,"[
  ""Outlet mall"",
  ""Shopping mall""
]",Outlet mall,http://laketown-outlet.jp/?utm_source=google_maps&utm_medium=organic&utm_campaign=website,35.8808758,139.8247389,A
Kannondoori street,,"[
  ""Outlet mall""
]",Outlet mall,,35.711816899999995,139.7970585,E
Kisarazu Outlet,,"[
  ""Shopping mall""
]",Shopping mall,,35.6799262,139.70607429999998,E
Reedom Essence,,"[
  ""Outlet mall""
]",Outlet mall,,35.6645549,139.867526,E
Shoten,,"[
  ""Outlet mall""
]",Outlet mall,,35.701747499999996,139.9714985,E
MITSUI OUTLET PARK A-SITE,130.0,"[
  ""Outlet mall""
]",Outlet mall,,35.6476502,140.0419766,D
LOVERS,10.0,"[
  ""Outlet store"",
  ""Clothing store"",
  ""Men's clothing store""
]",Outlet store,http://lovers.on.omisenomikata.jp/,35.7067038,139.78639239999998,E
ドリアンドゥ,1.0,"[
  ""Outlet store"",
  ""Business management consultant"",
  ""Clothing store"",
  ""Telemarketing service"",
  ""Women's clothing store""
]",Outlet store,,35.6955174,139.7843892,E
Mitsui Outlet Park Iruma,10863.0,"[
  ""Outlet mall"",
  ""Shopping mall""
]",Outlet mall,https://mitsui-shopping-park.com/mop/iruma/,35.810345399999996,139.3802642,A
NJ Outlet,,"[
  ""Shopping mall""
]",Shopping mall,,39.7840276,-75.052072,E
Outlet,152.0,"[
  ""Shopping mall""
]",Shopping mall,https://www.premiumoutlets.com/outlet/gloucester,39.783017699999995,-75.0526272,D
Gloucester Premium Outlets,7885.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.com/outlet/gloucester,39.7847048,-75.0525004,A
Factory Outlet Men's Clothing,134.0,"[
  ""Men's clothing store"",
  ""Clothing alteration service"",
  ""Clothing store"",
  ""Formal wear store"",
  ""Hat shop"",
  ""Tailor"",
  ""Tuxedo shop""
]",Men's clothing store,,39.981096199999996,-75.02267739999999,D
Philadelphia Premium Outlets,9706.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.com/outlet/philadelphia,40.2368752,-75.5716966,A
Dixie Outlet,14.0,"[
  ""Shopping mall""
]",Shopping mall,,32.024022699999996,35.8524911,E
البيادر للتصفية albayader outlet,21.0,"[
  ""Shopping mall""
]",Shopping mall,https://www.facebook.com/albayader.outlet/,31.9540378,35.8378405,E
Bickel Outlet Center,,"[
  ""Shopping mall""
]",Shopping mall,,32.3229621,34.8720846,E
Leesburg Premium Outlets,7153.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.com/outlet/leesburg,39.105554399999995,-77.5391308,A
Hagerstown Premium Outlets,5058.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.com/outlet/hagerstown,39.6080927,-77.7331293,A
Finger Lakes Premium Outlets,5484.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.com/outlet/finger-lakes,42.956243199999996,-76.9212572,A
Today Mall,8.0,"[
  ""Outlet mall"",
  ""Beauty salon""
]",Outlet mall,,40.761241299999995,-73.8311476,E
Express Factory Outlet,61.0,"[
  ""Outlet store"",
  ""Clothing store"",
  ""Jeans shop"",
  ""Dress store"",
  ""Fashion accessories store"",
  ""Men's clothing store"",
  ""T-shirt store"",
  ""Women's clothing store"",
  ""Work clothes store""
]",Outlet store,https://stores.expressfactoryoutlet.com/us/il/rockford/7200-harrison-ave?CID=Yext,42.245599,-88.974526,D
"adidas Outlet Store Aurora, Chicago Premium Outlets",1007.0,"[
  ""Sportswear store"",
  ""Clothing store"",
  ""Exercise equipment store"",
  ""Shoe store""
]",Sportswear store,https://go.adidas.com/ihha/11c0ab86,41.800959999999996,-88.27270999999999,C
Ollie's Bargain Outlet,527.0,"[
  ""Discount store"",
  ""Appliance store"",
  ""Book store"",
  ""Flooring store"",
  ""Gift shop"",
  ""Hardware store"",
  ""Home goods store"",
  ""Mattress store"",
  ""Seasonal goods store""
]",Discount store,http://www.ollies.us/,42.2223949,-88.2862146,C
Our Wisconsin Outlet and More,17.0,"[
  ""Outlet store"",
  ""Historical landmark"",
  ""Shopping mall""
]",Outlet store,http://shopourwisconsin.com/,42.9412861,-87.9954829,E
Evris Plaza,2.0,"[
  ""Outlet mall""
]",Outlet mall,,41.9460366,-87.8066083,E
Mitsui Outlet Park Yokohama Bayside,7312.0,"[
  ""Outlet mall"",
  ""Shopping mall""
]",Outlet mall,https://mitsui-shopping-park.com/mop/yokohama/,35.379899099999996,139.6464076,A
Shisui Premium Outlets,12394.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.co.jp/shisui/,35.7132177,140.29402009999998,A
Sano Premium Outlets,13032.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.co.jp/sano/,36.2930054,139.6048892,A
Ami Premium Outlets,9261.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.co.jp/ami/,35.9836814,140.23829849999998,A
MITSUI OUTLET PARK Tama Minami-Osawa,7101.0,"[
  ""Outlet mall"",
  ""Shopping mall""
]",Outlet mall,https://mitsui-shopping-park.com/mop/tama/,35.6150793,139.3783724,A
THE OUTLETS SHONAN HIRATSUKA,2412.0,"[
  ""Outlet mall""
]",Outlet mall,https://the-outlets-shonan-hiratsuka.aeonmall.com/?utm_source=google_maps&utm_medium=organic&utm_campaign=website,35.3921962,139.3635755,B
Fukaya-Hanazono Premium Outlets,3664.0,"[
  ""Outlet mall""
]",Outlet mall,https://www.premiumoutlets.co.jp/fukayahanazono/,36.1329225,139.2495877,B
Don Quijote Outlet Store,558.0,"[
  ""Discount store""
]",Discount store,http://www.donki.com/store/shop_detail.php?shop_id=169,35.454344299999995,139.3585726,C
Domremy Outlet Takasaki,951.0,"[
  ""Dessert restaurant"",
  ""Cake shop""
]",Dessert restaurant,http://www.domremy.com/outlet/takasaki/,36.3240829,139.01343079999998,C
WORLD OUTLET,150.0,"[
  ""Clothing store""
]",Clothing store,https://store.world.co.jp/real-store/1000006102,35.5090982,139.4727273,D
BEAMS OUTLET MAKUHARI,249.0,"[
  ""Clothing store"",
  ""Duty free store""
]",Clothing store,https://www.beams.co.jp/shop/mho/,35.647720899999996,140.0416163,D
