position,title,address,website,phone,order_online,rating,reviews,price,thumbnail,unclaimed_listing,type,types,service_options,hours,operating_hours,place_id,data_id,data_cid,gps_coordinates
1,NJ Outlet,"1125 S Black Horse Pike, Blackwood, NJ 08012",,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KSKoG_j9i-CEobloy1D26Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=266.43088&pitch=0&thumbfov=100,TRUE,Shopping mall,"[
  ""Shopping mall""
]",,,,ChIJhyzvQQDTxokRFFjz1LaVwiw,0x89c6d30041ef2c87:0x2cc295b6d4f35814,3225304895640000532,"{
  ""latitude"": 39.7840276,
  ""longitude"": -75.052072
}"
2,Garden State Pavilions,"Rte 70 W, Cherry Hill Township, NJ 08002",https://properties.kimcorealty.com/properties/116640,(833) 800-4343,,4.3,2049,,https://lh5.googleusercontent.com/p/AF1QipPNfi9lVeUHLcFtQy9A_rQ6oxoo8xKIenM9XxfJ=w122-h92-k-no,,Shopping mall,"[
  ""Shopping mall""
]","{
  ""in_store_shopping"": true,
  ""onsite_services"": true
}",Open ⋅ Closes 7 PM,"{
  ""friday"": ""10 AM–7 PM"",
  ""saturday"": ""10 AM–7 PM"",
  ""sunday"": ""11 AM–6 PM"",
  ""monday"": ""10 AM–9 PM"",
  ""tuesday"": ""10 AM–7 PM"",
  ""wednesday"": ""10 AM–9 PM"",
  ""thursday"": ""10 AM–9 PM""
}",ChIJpQYi28PLxokRLTPR7Y6llMs,0x89c6cbc3db2206a5:0xcb94a58eedd1332d,14669531919546397485,"{
  ""latitude"": 39.924997,
  ""longitude"": -75.0438018
}"
3,Outlet,"New Jersey, Blackwood, Premium Outlets Dr, 邮政编码: 08012",https://www.premiumoutlets.com/outlet/gloucester,,,4.7,152,,https://lh5.googleusercontent.com/p/AF1QipMxWn8U9I8wOrP64iWFR7zMJBJLd2UGa_nKmfhE=w122-h92-k-no,TRUE,Shopping mall,"[
  ""Shopping mall""
]",,Open ⋅ Closes 8 PM,"{
  ""friday"": ""10 AM–8 PM"",
  ""saturday"": ""10 AM–8 PM"",
  ""sunday"": ""11 AM–6 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM""
}",ChIJ8bfnA27TxokR3honFSe8noQ,0x89c6d36e03e7b7f1:0x849ebc2715271ade,9556282335371401950,"{
  ""latitude"": 39.783017699999995,
  ""longitude"": -75.0526272
}"
4,Audubon Crossings,"130 Black Horse Pike, Audubon, NJ 08106",http://walmart.com/,(610) 277-8899,,4.2,3195,,https://lh5.googleusercontent.com/p/AF1QipPXy0FBm9PnmoCU5me0vEOsUTrmUrhluI1QWGcC=w163-h92-k-no,TRUE,Shopping mall,"[
  ""Shopping mall""
]","{
  ""onsite_services"": true
}",Open ⋅ Closes 10 PM,"{
  ""friday"": ""7 AM–10 PM"",
  ""saturday"": ""7 AM–10 PM"",
  ""sunday"": ""7 AM–10 PM"",
  ""monday"": ""7 AM–10 PM"",
  ""tuesday"": ""7 AM–10 PM"",
  ""wednesday"": ""7 AM–10 PM"",
  ""thursday"": ""7 AM–10 PM""
}",ChIJcT8PtbzOxokR4vX1iGruOGI,0x89c6cebcb50f3f71:0x6238ee6a88f5f5e2,7077668955744499170,"{
  ""latitude"": 39.8915144,
  ""longitude"": -75.0866382
}"
5,Gloucester Premium Outlets,"100 Premium Outlets Dr, Blackwood, NJ 08012",https://www.premiumoutlets.com/outlet/gloucester,(856) 302-0878,,4.5,7885,,https://lh5.googleusercontent.com/p/AF1QipMg8MfP1hGanEhnMyewHfIWwKtce3McEZqPX2RE=w200-h92-k-no,,Outlet mall,"[
  ""Outlet mall""
]","{
  ""onsite_services"": true
}",Open ⋅ Closes 9 PM,"{
  ""friday"": ""10 AM–9 PM"",
  ""saturday"": ""10 AM–9 PM"",
  ""sunday"": ""11 AM–7 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM""
}",ChIJY3KLWy3SxokR-KdMIPlTjyk,0x89c6d22d5b8b7263:0x298f53f9204ca7f8,2994704606678525944,"{
  ""latitude"": 39.7847048,
  ""longitude"": -75.0525004
}"
6,Shops at Arrive University City,"3601 Market St suite # l, Philadelphia, PA 19104",https://www.arriveuniversitycity.com/retail-directory/,(267) 331-4474,,5,3,,https://lh5.googleusercontent.com/p/AF1QipNKfeyTbOzH7nqX-3OXwxBhwlM7nD8M0-OoOwez=w139-h92-k-no,TRUE,Shopping mall,"[
  ""Shopping mall""
]",,Open ⋅ Closes 6 PM,"{
  ""friday"": ""9 AM–6 PM"",
  ""saturday"": ""10 AM–5 PM"",
  ""sunday"": ""Closed"",
  ""monday"": ""9 AM–6 PM"",
  ""tuesday"": ""9 AM–6 PM"",
  ""wednesday"": ""9 AM–6 PM"",
  ""thursday"": ""9 AM–6 PM""
}",ChIJ4XZJsdHHxokR4RJ5H5ZChzk,0x89c6c7d1b14976e1:0x398742961f7912e1,4145355194558386913,"{
  ""latitude"": 39.956624399999995,
  ""longitude"": -75.194436
}"
7,Eddystone Crossings,"1570 Chester Pike, Eddystone, PA 19022",http://www.wolfsongroupinc.com/,(610) 277-8899,,4,2423,,https://lh5.googleusercontent.com/p/AF1QipOACJ34nLKQl0DcjAX43fZxCVpZMj1DHx7NeaBv=w122-h92-k-no,TRUE,Shopping mall,"[
  ""Shopping mall""
]","{
  ""onsite_services"": true
}",Open 24 hours,"{
  ""friday"": ""Open 24 hours"",
  ""saturday"": ""Open 24 hours"",
  ""sunday"": ""Open 24 hours"",
  ""monday"": ""Open 24 hours"",
  ""tuesday"": ""Open 24 hours"",
  ""wednesday"": ""Open 24 hours"",
  ""thursday"": ""Open 24 hours""
}",ChIJ4zjIowHoxokR0VrJPNPbomA,0x89c6e801a3c838e3:0x60a2dbd33cc95ad1,6963369674172619473,"{
  ""latitude"": 39.8652739,
  ""longitude"": -75.3414193
}"
8,The Shoppes at Cinnaminson,"195 US-130, Cinnaminson, NJ 08077",https://properties.brixmor.com/p/retail-real-estate/Cinnaminson-NJ-8077/theshoppesatcinnaminson?utm_source=gmb&utm_medium=Yext,(610) 215-7939,,4.4,2892,,https://lh5.googleusercontent.com/p/AF1QipOqh7qbXCX-XBfQyFSmCNRREuvdF7FF4rNNB0rh=w122-h92-k-no,,Shopping mall,"[
  ""Shopping mall""
]","{
  ""in_store_shopping"": true,
  ""onsite_services"": true
}",Open ⋅ Closes 12 AM,"{
  ""friday"": ""6 AM–12 AM"",
  ""saturday"": ""6 AM–12 AM"",
  ""sunday"": ""6 AM–12 AM"",
  ""monday"": ""6 AM–12 AM"",
  ""tuesday"": ""6 AM–12 AM"",
  ""wednesday"": ""6 AM–12 AM"",
  ""thursday"": ""6 AM–12 AM""
}",ChIJT1y8ynC1xokRF2GGpPDTTMk,0x89c6b570cabc5c4f:0xc94cd3f0a4866117,14505201530359406871,"{
  ""latitude"": 39.9910034,
  ""longitude"": -75.009343
}"
9,Columbus Crossing,"1851 S Christopher Columbus Blvd, Philadelphia, PA 19148",https://www.paramountrealty.com/,(732) 886-1500,,4.4,1748,,https://lh5.googleusercontent.com/p/AF1QipNREd9RUJaDpGPfGCFFPuvoMW3h8AdUpZtHYPS8=w122-h92-k-no,TRUE,Shopping mall,"[
  ""Shopping mall"",
  ""Beauty salon"",
  ""Restaurant""
]","{
  ""onsite_services"": true
}",,,ChIJN43AUrDIxokRb0zfNiDVIZE,0x89c6c8b052c08d37:0x9121d52036df4c6f,10457874144067275887,"{
  ""latitude"": 39.923491,
  ""longitude"": -75.14058279999999
}"
10,Moorestown Commons Shopping Center,"Young Ave, Hainesport, NJ 08036",,,,4.4,21,,https://lh5.googleusercontent.com/p/AF1QipN9UJ8lvaJkRhRp6reBi6f643S8s3wcjJO1w5FM=w80-h106-k-no,TRUE,Shopping mall,"[
  ""Shopping mall""
]",,Open ⋅ Closes 8 PM,"{
  ""friday"": ""9 AM–8 PM"",
  ""saturday"": ""9 AM–8 PM"",
  ""sunday"": ""9 AM–8 PM"",
  ""monday"": ""9 AM–8 PM"",
  ""tuesday"": ""9 AM–8 PM"",
  ""wednesday"": ""9 AM–8 PM"",
  ""thursday"": ""9 AM–8 PM""
}",ChIJ1Ym3-OxLwYkRv2UIeZesg68,0x89c14becf8b789d5:0xaf83ac97790865bf,12647141945157117375,"{
  ""latitude"": 39.9714734,
  ""longitude"": -74.9173331
}"
